Date,Open,High,Low,Close,Volume
2019-06-14,785.0,795.0,775.0,790.0,51605300
2019-06-17,800.0,805.0,760.0,765.0,46657900
2019-06-18,765.0,780.0,765.0,775.0,24803000
2019-06-19,790.0,800.0,785.0,795.0,48304200
2019-06-20,810.0,825.0,800.0,805.0,91642200
2019-06-21,815.0,820.0,785.0,800.0,82014000
2019-06-24,805.0,815.0,795.0,795.0,37223500
2019-06-25,805.0,850.0,795.0,845.0,242773400
2019-06-26,845.0,850.0,820.0,825.0,105044300
2019-06-27,830.0,845.0,820.0,830.0,64619500
2019-06-28,840.0,860.0,830.0,845.0,131205700
2019-07-01,850.0,865.0,840.0,850.0,112441000
2019-07-02,845.0,850.0,835.0,840.0,34077600
2019-07-03,845.0,850.0,810.0,815.0,82796400
2019-07-04,825.0,830.0,815.0,820.0,42211300
2019-07-05,820.0,825.0,810.0,810.0,27266000
2019-07-08,810.0,835.0,800.0,825.0,47875600
2019-07-09,825.0,840.0,825.0,825.0,49279300
2019-07-10,830.0,840.0,815.0,820.0,33570400
2019-07-11,835.0,855.0,825.0,850.0,114504000
2019-07-12,850.0,855.0,835.0,845.0,54953400
2019-07-15,855.0,885.0,855.0,880.0,192125200
2019-07-16,885.0,905.0,875.0,895.0,141194200
2019-07-17,900.0,930.0,885.0,900.0,238303800
2019-07-18,920.0,985.0,920.0,950.0,335413700
2019-07-19,970.0,985.0,935.0,940.0,137797900
2019-07-22,940.0,960.0,915.0,960.0,119839200
2019-07-23,950.0,970.0,940.0,940.0,82880700
2019-07-24,940.0,960.0,935.0,945.0,48601800
2019-07-25,955.0,965.0,925.0,930.0,78453700
2019-07-26,930.0,930.0,885.0,890.0,87812600
2019-07-29,895.0,915.0,880.0,895.0,63726900
2019-07-30,905.0,940.0,905.0,935.0,84114000
2019-07-31,940.0,945.0,925.0,935.0,48705800
2019-08-01,935.0,940.0,920.0,925.0,46309500
2019-08-02,905.0,920.0,890.0,900.0,100773500
2019-08-05,900.0,900.0,855.0,860.0,83532300
2019-08-06,850.0,945.0,830.0,940.0,247604900
2019-08-07,945.0,1030.0,940.0,1005.0,487598800
2019-08-08,1050.0,1075.0,1010.0,1020.0,257680900
2019-08-09,1030.0,1080.0,1015.0,1065.0,240007000
2019-08-12,1070.0,1080.0,1030.0,1035.0,179863500
2019-08-13,1045.0,1085.0,1035.0,1065.0,175124700
2019-08-14,1070.0,1130.0,1050.0,1110.0,323676500
2019-08-15,1090.0,1140.0,1085.0,1120.0,195784600
2019-08-16,1140.0,1150.0,1120.0,1120.0,141043100
2019-08-19,1130.0,1130.0,1085.0,1085.0,85735700
2019-08-20,1080.0,1080.0,1035.0,1050.0,117148500
2019-08-21,1055.0,1085.0,1025.0,1070.0,151189900
2019-08-22,1075.0,1080.0,1035.0,1040.0,65051200
2019-08-23,1045.0,1045.0,1015.0,1015.0,87934800
2019-08-26,1020.0,1060.0,1015.0,1030.0,147239400
2019-08-27,1040.0,1045.0,1020.0,1020.0,69950500
2019-08-28,1030.0,1060.0,1025.0,1050.0,102409700
2019-08-29,1060.0,1085.0,1050.0,1055.0,161352000
2019-08-30,1075.0,1080.0,1045.0,1070.0,100688800
2019-09-02,1120.0,1175.0,1115.0,1170.0,380923500
2019-09-03,1170.0,1170.0,1105.0,1110.0,184669600
2019-09-04,1120.0,1140.0,1090.0,1100.0,108867300
2019-09-05,1105.0,1115.0,1085.0,1100.0,109971500
2019-09-06,1090.0,1100.0,1075.0,1075.0,70609200
2019-09-09,1080.0,1135.0,1080.0,1120.0,153116500
2019-09-10,1130.0,1160.0,1110.0,1130.0,202036800
2019-09-11,1125.0,1140.0,1115.0,1125.0,65474500
2019-09-12,1125.0,1140.0,1115.0,1120.0,59565600
2019-09-13,1120.0,1125.0,1055.0,1070.0,128241500
