Date,Open,High,Low,Close,Volume
2019-06-14,131.0,135.0,130.0,132.0,94646600
2019-06-17,132.0,134.0,119.0,119.0,178918500
2019-06-18,120.0,125.0,119.0,124.0,101061600
2019-06-19,125.0,131.0,125.0,130.0,143156400
2019-06-20,131.0,132.0,126.0,127.0,67393700
2019-06-21,127.0,130.0,125.0,130.0,277597100
2019-06-24,129.0,138.0,129.0,133.0,1143746800
2019-06-25,135.0,136.0,131.0,131.0,150067300
2019-06-26,130.0,136.0,129.0,133.0,260872800
2019-06-27,133.0,135.0,131.0,132.0,34973400
2019-06-28,132.0,133.0,128.0,128.0,89550200
2019-07-01,129.0,132.0,126.0,128.0,76242100
2019-07-02,130.0,130.0,126.0,127.0,46315100
2019-07-03,127.0,128.0,123.0,123.0,84850500
2019-07-04,124.0,126.0,121.0,122.0,59226100
2019-07-05,123.0,124.0,120.0,122.0,46578700
2019-07-08,122.0,124.0,119.0,121.0,62141000
2019-07-09,121.0,126.0,119.0,126.0,93618200
2019-07-10,126.0,127.0,122.0,123.0,35724900
2019-07-11,125.0,128.0,123.0,126.0,260279400
2019-07-12,126.0,128.0,124.0,124.0,225094200
2019-07-15,124.0,128.0,124.0,126.0,146448700
2019-07-16,126.0,132.0,124.0,130.0,147396700
2019-07-17,131.0,136.0,126.0,134.0,250752600
2019-07-18,134.0,145.0,132.0,142.0,575219100
2019-07-19,142.0,146.0,139.0,142.0,233316100
2019-07-22,143.0,143.0,136.0,138.0,122179000
2019-07-23,137.0,140.0,136.0,138.0,41043600
2019-07-24,138.0,143.0,137.0,141.0,107196400
2019-07-25,142.0,142.0,139.0,139.0,64861600
2019-07-26,139.0,142.0,137.0,139.0,72280700
2019-07-29,140.0,142.0,137.0,142.0,69211300
2019-07-30,143.0,155.0,142.0,154.0,473266700
2019-07-31,155.0,156.0,149.0,149.0,102112900
2019-08-01,149.0,150.0,146.0,147.0,71202600
2019-08-02,150.0,152.0,144.0,152.0,87661600
2019-08-05,153.0,153.0,133.0,135.0,323456900
2019-08-06,135.0,142.0,126.0,141.0,304998100
2019-08-07,141.0,144.0,138.0,139.0,101896400
2019-08-08,139.0,143.0,136.0,140.0,88952800
2019-08-09,140.0,143.0,138.0,138.0,78533600
2019-08-12,138.0,139.0,136.0,136.0,45497100
2019-08-13,136.0,137.0,131.0,131.0,74375900
2019-08-14,132.0,137.0,132.0,135.0,78603800
2019-08-15,132.0,134.0,131.0,133.0,46756900
2019-08-16,133.0,136.0,132.0,132.0,58080400
2019-08-19,134.0,135.0,131.0,132.0,45400000
2019-08-20,133.0,134.0,131.0,132.0,38723500
2019-08-21,132.0,133.0,127.0,128.0,84608200
2019-08-22,128.0,131.0,127.0,127.0,49603700
2019-08-23,128.0,129.0,124.0,124.0,46240300
2019-08-26,121.0,126.0,119.0,126.0,42077800
2019-08-27,126.0,129.0,125.0,125.0,58235600
2019-08-28,125.0,126.0,120.0,121.0,39625700
2019-08-29,122.0,123.0,121.0,123.0,134742500
2019-08-30,124.0,125.0,121.0,121.0,122863400
2019-09-02,121.0,122.0,115.0,116.0,61473300
2019-09-03,116.0,120.0,115.0,116.0,64373300
2019-09-04,116.0,118.0,115.0,118.0,42358500
2019-09-05,118.0,121.0,118.0,118.0,46572900
2019-09-06,119.0,129.0,118.0,126.0,123596600
2019-09-09,126.0,127.0,124.0,126.0,48168800
2019-09-10,127.0,129.0,125.0,125.0,45135000
2019-09-11,125.0,129.0,125.0,127.0,44091200
2019-09-12,126.0,128.0,125.0,125.0,15979500
2019-09-13,125.0,127.0,122.0,123.0,23582900
